날짜,종가,전일비,시가,고가,저가,거래량
2023.07.07,"286,000","6,500","280,000","289,500","280,000","277,604"
2023.07.06,"279,500","1,000","280,500","284,500","276,000","214,205"
2023.07.05,"280,500","5,500","284,500","285,000","276,000","225,458"
2023.07.04,"286,000","6,500","280,500","291,000","276,500","325,615"
2023.07.03,"279,500","2,000","282,500","284,500","273,000","263,649"
2023.06.30,"281,500","2,000","280,500","284,500","276,000","206,049"
2023.06.29,"279,500","5,500","284,000","291,000","278,000","187,764"
2023.06.28,"285,000","7,000","294,500","294,500","284,000","166,864"
2023.06.27,"292,000","6,000","298,500","298,500","285,500","289,388"
2023.06.26,"298,000","3,000","299,000","303,500","296,000","125,709"
2023.06.23,"301,000","6,000","307,000","308,500","297,500","246,155"
2023.06.22,"307,000","10,500","295,000","312,500","291,000","560,667"
2023.06.21,"296,500","4,000","300,500","303,500","294,500","233,629"
2023.06.20,"300,500",0,"299,500","303,500","298,000","221,852"
2023.06.19,"300,500","3,000","298,500","306,500","295,000","221,540"
2023.06.16,"297,500","3,000","302,500","303,000","295,000","213,190"
2023.06.15,"300,500","8,500","296,000","302,500","295,500","329,373"
2023.06.14,"292,000","2,000","295,000","307,500","288,500","448,757"
2023.06.13,"294,000",0,"294,500","296,500","289,000","209,505"
2023.06.12,"294,000","13,500","284,500","295,000","281,000","402,574"
2023.06.09,"280,500","12,500","270,500","286,500","269,000","430,504"
2023.06.08,"268,000","1,000","267,500","271,000","265,000","151,260"
2023.06.07,"269,000","4,000","265,000","272,000","265,000","174,858"
2023.06.05,"265,000","5,000","270,000","271,000","264,000","165,535"
2023.06.02,"270,000","7,500","276,000","278,000","263,500","448,545"
2023.06.01,"277,500","3,500","274,000","283,000","272,500","273,680"
2023.05.31,"274,000","2,000","272,500","279,000","270,000","250,839"
2023.05.30,"276,000","6,000","270,500","278,500","265,500","198,316"
2023.05.26,"270,000","3,000","264,500","272,000","263,000","192,873"
2023.05.25,"267,000",500,"263,000","272,000","262,500","183,552"
2023.05.24,"267,500","5,500","278,000","278,500","263,500","309,525"
2023.05.23,"273,000","4,000","271,000","273,500","267,500","236,713"
2023.05.22,"269,000","12,000","281,000","281,000","261,000","483,751"
2023.05.19,"281,000","5,000","286,000","288,500","276,500","205,231"
2023.05.18,"286,000","6,000","292,500","294,000","284,500","159,742"
2023.05.17,"292,000","8,000","285,000","295,000","282,500","372,362"
2023.05.16,"284,000","5,500","279,000","288,000","276,500","297,601"
2023.05.15,"278,500","3,500","280,000","289,500","276,500","160,301"
2023.05.12,"282,000","4,500","280,500","287,500","277,500","243,863"
2023.05.11,"277,500","2,000","281,000","282,000","269,000","210,118"
2023.05.10,"279,500","2,000","277,500","282,500","271,000","171,679"
2023.05.09,"277,500","1,500","278,000","283,000","273,000","182,461"
2023.05.08,"279,000","13,500","290,000","294,500","276,000","309,476"
2023.05.04,"292,500","2,000","295,000","298,000","284,000","258,060"
2023.05.03,"294,500","10,000","285,500","303,000","285,000","573,639"
2023.05.02,"284,500","14,500","270,500","285,000","269,000","447,119"
2023.04.28,"270,000","6,000","264,000","277,000","263,000","248,614"
2023.04.27,"264,000","1,000","265,000","269,000","259,500","175,062"
2023.04.26,"265,000","4,500","260,000","270,000","259,500","265,975"
2023.04.25,"260,500","1,500","261,000","265,000","257,000","193,822"
2023.04.24,"259,000","9,000","250,000","262,000","247,500","270,654"
2023.04.21,"250,000","7,000","255,500","258,500","243,500","231,363"
2023.04.20,"257,000","5,500","250,500","267,000","242,500","436,176"
2023.04.19,"251,500","7,000","260,500","261,500","249,500","241,084"
2023.04.18,"258,500","1,500","262,000","270,000","256,500","246,929"
2023.04.17,"260,000","1,000","265,000","270,000","254,500","347,729"
2023.04.14,"259,000","14,000","246,000","263,000","245,500","625,603"
2023.04.13,"245,000","9,500","238,000","249,500","231,500","511,910"
2023.04.12,"235,500","11,000","223,500","237,000","222,500","321,808"
2023.04.11,"224,500","2,500","222,500","227,000","216,000","223,899"
2023.04.10,"222,000","5,000","218,500","223,000","215,000","265,446"
2023.04.07,"217,000","12,000","206,000","219,000","200,500","493,700"
2023.04.06,"205,000","14,300","190,300","212,500","190,300","862,698"
2023.04.05,"190,700",400,"190,200","191,300","188,200","114,403"
2023.04.04,"190,300","6,300","184,900","190,900","184,500","191,538"
2023.04.03,"184,000","4,900","188,000","189,500","183,700","141,199"
2023.03.31,"188,900",900,"189,000","191,300","185,300","137,451"
2023.03.30,"188,000","2,100","189,900","192,000","187,000","129,308"
2023.03.29,"190,100","2,800","186,000","191,300","186,000","169,791"
2023.03.28,"187,300","5,200","181,400","187,800","178,900","195,777"
2023.03.27,"182,100","5,400","186,400","188,600","177,900","237,102"
2023.03.24,"187,500",900,"187,000","190,600","184,800","159,391"
2023.03.23,"188,400","1,900","190,000","191,000","185,400","180,348"
2023.03.22,"190,300",700,"189,200","191,200","188,100","126,708"
2023.03.21,"189,600","5,600","186,500","191,300","186,100","287,767"
2023.03.20,"184,000","4,600","179,300","188,000","179,300","231,416"
2023.03.17,"179,400","2,900","176,600","183,100","176,500","201,551"
2023.03.16,"176,500","3,000","172,000","178,000","171,000","236,020"
2023.03.15,"173,500",200,"176,400","176,400","170,300","244,634"
2023.03.14,"173,700","15,900","187,700","189,300","173,000","431,611"
2023.03.13,"189,600","5,900","185,600","196,600","182,600","849,993"
2023.03.10,"183,700","7,200","174,100","189,800","173,900","505,221"
2023.03.09,"176,500",700,"177,800","179,500","174,800","216,070"
2023.03.08,"177,200","11,300","188,500","189,900","175,400","475,591"
2023.03.07,"188,500","3,300","186,900","191,000","184,000","308,012"
2023.03.06,"191,800","4,400","194,200","195,900","189,400","354,913"
2023.03.03,"187,400",400,"185,200","188,900","185,200","124,515"
2023.03.02,"187,000","1,900","185,100","189,900","182,500","208,411"
2023.02.28,"185,100","2,700","184,000","190,000","183,000","350,642"
2023.02.27,"182,400",800,"181,000","185,200","178,100","293,030"
2023.02.24,"183,200","4,500","187,600","188,200","182,700","227,726"
2023.02.23,"187,700",0,"192,000","192,100","187,600","229,292"
2023.02.22,"187,700","5,600","183,900","192,900","183,800","605,997"
2023.02.21,"182,100","2,400","183,800","184,500","180,900","172,604"
2023.02.20,"184,500","2,500","181,000","188,100","181,000","328,567"
2023.02.17,"182,000","8,500","189,400","189,400","179,900","564,813"
2023.02.16,"190,500","6,700","194,100","196,200","189,800","582,216"
2023.02.15,"197,200","4,800","199,900","201,500","192,500","575,230"
2023.02.14,"202,000","13,000","191,300","203,000","189,900","869,251"
2023.02.13,"189,000","6,300","204,000","204,500","188,800","731,578"
2023.02.10,"195,300","3,000","212,500","218,500","193,800","2,102,129"
2023.02.09,"198,300",700,"198,000","205,500","196,800","324,646"
2023.02.08,"197,600","8,100","189,600","200,000","189,600","420,258"
2023.02.07,"189,500",700,"188,800","190,600","184,300","239,570"
2023.02.06,"188,800","6,800","195,400","195,500","188,800","206,034"
2023.02.03,"195,600","7,700","187,900","197,200","187,100","287,588"
2023.02.02,"187,900","1,600","189,700","192,000","187,300","191,183"
2023.02.01,"189,500","2,200","189,500","191,500","188,500","131,283"
2023.01.31,"191,700","2,800","186,100","193,500","185,700","249,181"
2023.01.30,"188,900","5,100","194,900","196,000","187,700","226,787"
2023.01.27,"194,000","3,600","192,200","194,800","189,000","190,667"
2023.01.26,"190,400","4,000","187,000","194,200","186,200","292,592"
2023.01.25,"186,400",600,"188,000","188,500","185,000","198,658"
2023.01.20,"187,000","1,000","187,500","191,000","186,000","181,112"
2023.01.19,"188,000","9,000","179,500","189,000","179,500","399,272"
2023.01.18,"179,000","2,000","177,500","182,000","176,000","221,721"
2023.01.17,"177,000","1,500","178,500","180,500","176,000","167,937"
2023.01.16,"178,500","4,000","173,500","179,000","173,000","223,077"
2023.01.13,"174,500","1,500","174,000","177,500","173,000","145,611"
2023.01.12,"173,000","1,500","174,500","177,000","171,500","167,481"
2023.01.11,"174,500","4,000","172,000","176,000","167,000","200,157"
2023.01.10,"170,500","3,000","173,500","175,000","169,500","179,809"
2023.01.09,"173,500","5,500","170,500","176,500","170,500","204,808"
2023.01.06,"168,000","4,000","170,000","172,000","160,500","509,214"
2023.01.05,"172,000",500,"172,000","177,000","171,000","173,260"
2023.01.04,"171,500","5,000","176,500","177,000","169,000","251,334"
2023.01.03,"176,500","7,000","170,000","182,000","170,000","522,683"
2023.01.02,"169,500","4,000","174,500","176,000","166,500","183,432"
2022.12.29,"173,500","3,500","168,000","175,500","168,000","194,427"
2022.12.28,"170,000",500,"170,000","171,500","166,500","174,958"
2022.12.27,"170,500","1,000","173,000","175,000","168,000","202,232"
2022.12.26,"171,500","3,500","173,500","174,500","169,000","190,601"
2022.12.23,"175,000",0,"173,000","179,500","172,500","283,230"
2022.12.22,"175,000","6,000","169,500","177,000","169,000","341,749"
2022.12.21,"169,000","6,500","165,000","169,000","160,500","229,363"
2022.12.20,"162,500","4,500","167,000","168,500","161,000","166,667"
2022.12.19,"167,000","3,000","164,500","169,000","162,000","202,717"
2022.12.16,"164,000","6,500","153,500","166,500","153,000","319,185"
2022.12.15,"157,500","5,500","161,500","165,000","155,500","237,924"
2022.12.14,"163,000","7,500","156,500","164,500","156,500","262,419"
2022.12.13,"155,500","1,500","157,500","159,000","154,500","180,480"
2022.12.12,"157,000",500,"155,000","162,500","154,000","249,465"
2022.12.09,"156,500","11,500","147,500","158,500","147,000","404,438"
2022.12.08,"145,000",0,"145,500","147,500","141,500","128,477"
2022.12.07,"145,000",0,"144,500","149,000","143,000","113,589"
2022.12.06,"145,000","7,000","150,500","150,500","145,000","166,530"
2022.12.05,"152,000","1,000","151,500","155,500","150,500","172,743"
2022.12.02,"151,000","2,500","153,500","154,000","150,000","152,969"
2022.12.01,"153,500","10,500","147,000","156,000","145,500","393,983"
2022.11.30,"143,000","1,000","143,500","144,500","140,500","125,388"
2022.11.29,"144,000","6,000","137,000","146,000","137,000","168,762"
2022.11.28,"138,000","1,000","139,000","140,000","135,500","113,583"
2022.11.25,"139,000","4,000","142,000","144,000","138,500","138,106"
2022.11.24,"143,000","2,000","142,000","144,000","139,000","134,981"
2022.11.23,"141,000","9,000","135,000","143,500","134,500","201,975"
2022.11.22,"132,000","5,500","136,500","138,500","131,500","109,850"
2022.11.21,"137,500",500,"139,500","143,000","135,500","169,182"
2022.11.18,"137,000","6,000","143,000","146,000","137,000","146,362"
2022.11.17,"143,000","2,500","140,000","147,000","140,000","209,807"
2022.11.16,"140,500","2,500","140,000","142,500","138,000","163,231"
2022.11.15,"138,000","2,500","134,500","139,000","134,500","105,371"
2022.11.14,"135,500","5,500","139,500","141,000","135,000","186,311"
2022.11.11,"141,000","14,500","133,500","144,000","133,000","412,850"
2022.11.10,"126,500","4,000","126,000","130,000","126,000","161,369"
2022.11.09,"130,500","1,000","131,000","133,000","129,500","167,942"
2022.11.08,"129,500","6,000","125,500","129,500","123,500","174,799"
2022.11.07,"123,500","1,000","121,500","125,500","121,500","74,092"
2022.11.04,"122,500","2,000","122,500","124,000","119,500","163,152"
2022.11.03,"124,500","2,500","123,500","129,000","120,500","276,169"
2022.11.02,"127,000","5,000","121,000","129,000","119,500","202,996"
2022.11.01,"122,000","1,000","121,000","124,000","120,000","141,844"
2022.10.31,"121,000","2,000","121,500","123,000","118,500","147,619"
2022.10.28,"119,000",0,"119,000","123,500","118,000","159,529"
2022.10.27,"119,000","4,000","117,000","121,000","116,500","147,272"
2022.10.26,"115,000","3,000","118,000","119,500","115,000","120,404"
2022.10.25,"118,000","5,000","114,500","119,000","113,500","179,569"
2022.10.24,"113,000",500,"114,500","116,500","112,500","172,825"
2022.10.21,"112,500",500,"111,000","113,000","108,500","216,920"
2022.10.20,"113,000","5,500","118,500","119,000","111,500","310,488"
2022.10.19,"118,500","2,000","121,500","125,000","118,000","237,888"
2022.10.18,"120,500","5,500","116,500","124,000","115,500","560,834"
2022.10.17,"115,000","3,000","113,500","117,000","109,500","425,995"
2022.10.14,"118,000","8,500","111,500","119,000","111,500","457,209"
2022.10.13,"109,500","5,000","113,000","114,000","107,000","396,283"
2022.10.12,"114,500","4,000","116,500","118,500","111,000","421,362"
2022.10.11,"118,500","4,500","119,000","120,500","114,500","326,980"
2022.10.07,"123,000","8,000","129,500","130,000","121,000","378,378"
2022.10.06,"131,000","1,000","129,500","133,000","129,000","152,272"
2022.10.05,"130,000","4,500","137,000","137,500","127,000","299,002"
2022.10.04,"134,500",500,"137,000","138,000","134,000","136,336"
2022.09.30,"135,000","3,000","130,000","136,000","129,500","173,772"
2022.09.29,"132,000","2,000","131,500","137,000","130,500","219,709"
2022.09.28,"130,000","10,000","138,000","139,000","129,000","323,802"
2022.09.27,"140,000","1,000","140,500","142,000","137,000","222,288"
2022.09.26,"141,000","3,000","141,000","145,500","138,500","206,341"
2022.09.23,"144,000","5,000","147,000","149,000","143,000","145,258"
2022.09.22,"149,000","6,500","152,000","153,000","146,000","199,068"
2022.09.21,"155,500","2,000","156,500","159,500","153,500","131,771"
2022.09.20,"157,500",0,"158,500","161,500","157,000","118,153"
2022.09.19,"157,500","3,500","158,000","164,000","156,500","293,981"
2022.09.16,"154,000","1,500","155,500","158,000","153,500","121,151"
2022.09.15,"155,500","3,000","158,500","159,000","154,500","143,820"
2022.09.14,"158,500","3,500","154,500","160,000","153,500","172,820"
2022.09.13,"162,000","4,000","161,000","165,000","160,500","198,394"
2022.09.08,"158,000",0,"158,000","161,000","157,500","163,232"
2022.09.07,"158,000","2,500","158,500","161,000","155,000","240,922"
2022.09.06,"160,500","7,000","168,000","170,000","160,000","303,572"
2022.09.05,"167,500","1,000","167,000","175,000","167,000","189,623"
2022.09.02,"168,500","2,000","168,000","174,000","167,000","240,091"
2022.09.01,"166,500","15,000","178,500","178,500","165,500","427,882"
2022.08.31,"181,500","11,500","168,000","183,000","167,000","492,139"
2022.08.30,"170,000","5,500","165,000","170,500","165,000","184,450"
2022.08.29,"164,500","11,000","167,000","171,500","164,500","320,328"
2022.08.26,"175,500","2,000","174,500","177,500","172,500","152,990"
2022.08.25,"173,500","2,500","176,000","178,500","172,500","199,435"
2022.08.24,"176,000","3,500","173,000","176,500","169,000","197,180"
2022.08.23,"172,500","11,500","182,000","182,500","172,000","358,340"
2022.08.22,"184,000","2,500","183,000","187,000","181,000","169,332"
2022.08.19,"186,500","1,500","188,500","196,000","185,000","372,611"
2022.08.18,"188,000","2,000","183,500","189,500","180,000","234,636"
2022.08.17,"186,000","1,000","187,000","190,000","183,500","231,715"
2022.08.16,"187,000","4,000","184,500","190,500","183,000","278,176"
2022.08.12,"183,000","2,500","181,500","185,000","180,000","203,145"
2022.08.11,"180,500","3,500","181,000","181,500","177,500","166,745"
2022.08.10,"177,000","7,000","184,500","186,000","176,000","238,348"
2022.08.09,"184,000","6,500","177,000","186,000","176,000","304,548"
2022.08.08,"177,500","2,500","175,500","179,000","174,000","153,497"
2022.08.05,"175,000","1,500","174,000","176,000","171,000","135,121"
2022.08.04,"173,500","3,000","173,500","178,000","171,500","320,473"
2022.08.03,"170,500","5,000","166,000","173,500","164,000","330,579"
2022.08.02,"165,500","8,000","174,000","174,000","161,000","522,875"
2022.08.01,"173,500","2,000","176,000","188,000","172,500","512,705"
2022.07.29,"175,500","6,000","172,500","179,500","170,500","340,984"
2022.07.28,"169,500","2,000","169,000","173,000","164,000","336,241"
2022.07.27,"167,500","4,500","171,000","173,000","167,000","220,878"
2022.07.26,"172,000","4,500","177,000","178,000","171,000","335,739"
2022.07.25,"176,500","9,500","167,000","178,500","164,500","468,714"
2022.07.22,"167,000","10,000","158,500","170,000","157,000","521,238"
2022.07.21,"157,000","4,000","152,500","158,500","152,000","174,637"
2022.07.20,"153,000",500,"155,500","158,000","151,000","184,814"
2022.07.19,"152,500","2,000","153,000","154,000","150,500","160,410"
2022.07.18,"154,500","2,000","158,500","159,000","150,000","191,737"
2022.07.15,"156,500","7,000","163,500","164,500","156,000","179,481"
2022.07.14,"163,500","5,000","156,500","165,000","156,500","231,449"
2022.07.13,"158,500","2,500","156,000","161,000","155,000","131,005"
2022.07.12,"156,000","3,500","158,000","160,000","152,500","188,670"
2022.07.11,"159,500","5,000","166,000","168,500","158,500","217,806"
2022.07.08,"164,500","6,000","160,500","170,500","158,500","427,550"
2022.07.07,"158,500","9,000","151,000","164,500","150,500","406,439"
2022.07.06,"149,500",500,"149,000","156,000","147,000","363,099"
2022.07.05,"150,000","8,000","142,500","150,500","142,000","290,363"
2022.07.04,"142,000","2,000","142,500","146,500","139,500","256,569"
2022.07.01,"140,000","5,500","146,500","148,000","139,000","253,927"
2022.06.30,"145,500","3,000","147,500","152,000","144,000","248,262"
2022.06.29,"148,500","1,500","144,000","150,000","143,500","233,353"
2022.06.28,"147,000","5,000","151,000","151,000","142,500","538,781"
2022.06.27,"152,000","4,000","150,000","154,000","144,000","395,216"
2022.06.24,"148,000","8,500","141,000","149,500","140,500","406,847"
2022.06.23,"139,500",0,"138,000","146,000","138,000","558,128"
2022.06.22,"139,500","10,000","152,000","152,500","139,500","481,524"
2022.06.21,"149,500",0,"150,000","151,500","139,500","506,620"
2022.06.20,"149,500","1,000","151,500","152,000","145,500","489,287"
2022.06.17,"148,500",500,"141,000","153,000","140,500","879,832"
2022.06.16,"148,000","3,000","148,000","158,000","139,000","2,713,956"
2022.06.15,"145,000","48,000","168,000","168,500","139,000","4,212,828"
2022.06.14,"193,000","6,000","192,000","196,000","184,500","499,366"
2022.06.13,"199,000","24,500","216,000","217,500","198,500","454,935"
2022.06.10,"223,500","4,000","223,500","225,500","220,000","160,657"
2022.06.09,"227,500","5,500","222,000","228,000","221,000","196,150"
2022.06.08,"222,000",500,"221,500","226,000","220,000","102,544"
2022.06.07,"221,500","6,500","229,500","230,000","220,000","146,529"
2022.06.03,"228,000","1,000","229,000","232,000","227,500","137,854"
2022.06.02,"227,000","4,000","232,000","232,500","224,500","137,833"
2022.05.31,"231,000","3,000","228,000","233,000","225,500","242,955"
2022.05.30,"228,000","9,500","222,500","228,000","220,500","214,345"
2022.05.27,"218,500","4,000","219,500","226,500","215,500","253,460"
2022.05.26,"214,500","5,000","220,000","221,500","213,500","133,881"
2022.05.25,"219,500","4,000","216,500","221,000","216,000","124,760"
2022.05.24,"215,500","5,500","221,000","221,000","215,000","114,706"
2022.05.23,"221,000",0,"220,500","221,500","217,500","131,124"
2022.05.20,"221,000","2,500","219,000","221,000","213,000","277,547"
2022.05.19,"218,500","1,500","212,000","221,500","212,000","145,862"
2022.05.18,"220,000","1,000","222,500","226,500","219,500","206,231"
2022.05.17,"219,000","3,500","215,000","222,000","215,000","131,418"
2022.05.16,"215,500",500,"216,500","222,000","213,000","185,060"
2022.05.13,"215,000","2,000","213,000","218,000","211,500","246,632"
2022.05.12,"213,000","15,000","221,500","225,000","211,500","405,107"
2022.05.11,"228,000","2,500","230,000","234,000","226,000","172,713"
2022.05.10,"230,500","5,000","229,500","233,000","219,000","350,101"
2022.05.09,"235,500","5,500","238,000","240,000","233,500","184,982"
2022.05.06,"241,000","6,000","245,000","249,000","240,000","198,883"
2022.05.04,"247,000","6,500","255,000","256,000","245,000","273,895"
2022.05.03,"253,500","1,000","253,500","257,000","251,500","154,984"
2022.05.02,"252,500","1,000","247,500","253,500","244,500","146,391"
2022.04.29,"251,500","7,500","259,500","260,500","251,000","224,108"
2022.04.28,"259,000","1,500","263,000","263,500","256,000","149,230"
2022.04.27,"260,500",0,"253,500","264,000","251,000","256,788"
2022.04.26,"260,500","10,000","253,000","264,000","253,000","252,790"
2022.04.25,"250,500","4,000","248,500","257,000","246,500","168,202"
2022.04.22,"254,500","6,500","260,000","260,000","253,500","222,681"
2022.04.21,"261,000","3,000","263,000","267,000","257,500","235,355"
2022.04.20,"264,000","16,000","281,500","281,500","263,500","469,129"
2022.04.19,"280,000",500,"280,500","283,500","279,000","121,423"
2022.04.18,"279,500","14,500","293,500","293,500","279,000","267,792"
2022.04.15,"294,000","3,000","294,000","300,000","287,500","126,475"
2022.04.14,"297,000","4,500","299,000","299,500","292,000","194,491"
2022.04.13,"301,500","18,000","287,000","302,500","286,000","320,345"
2022.04.12,"283,500","1,500","279,000","285,000","276,500","181,292"
2022.04.11,"282,000","1,500","286,500","295,000","281,000","258,351"
2022.04.08,"283,500","6,500","293,500","296,500","282,000","274,873"
2022.04.07,"290,000","10,000","295,000","303,500","289,500","270,975"
2022.04.06,"300,000","11,500","308,000","311,000","299,000","266,799"
2022.04.05,"311,500","2,000","313,500","317,500","306,500","182,959"
2022.04.04,"313,500","9,500","333,000","334,500","308,500","561,925"
2022.04.01,"323,000","13,500","307,500","329,500","304,000","715,079"
